Title,Ingredients,Instructions
['Green Moong Dal (Green Gram Dal)'],"▢ ½ cup green gram (dried whole green moong, mung beans)▢ ½ cup onions fine chopped (1 medium)▢ ¾ cup tomatoes deseeded & chopped or pureed (1 large)▢ 1 green chili  chopped (optional)▢ ¾ teaspoon ginger minced or paste (¾ inch)▢ 2 to 3 garlic cloves minced (or ¾ teaspoon paste)▢ 1 sprig  curry leaves or bay leaf▢ 1½ to 2 tablespoons oil or ghee▢ ½ teaspoon cumin seeds (jeera)▢ ¼ teaspoon mustard seeds  (optional)▢ ½ to ¾ teaspoon Kashmiri red chili powder (adjust to taste)▢ ½ teaspoon garam masala▢ ¾ teaspoon coriander powder▢ ¼ teaspoon turmeric▢ ¾ teaspoon salt (adjust to taste)▢ 1½ cups water (3 cups for pot) (1½ cups for Instant pot)▢ 2 tablespoon coriander leaves to garnish","▢ Rinse the green moong dal well and keep immersed in fresh water until you prepare the ingredients. Press saute button on your Instant pot and wait for the display to show “HOT”.▢ Pour oil or ghee. Add cumin seeds, curry leaves, onions and green chili.▢ Saute until the onions turn light golden. Stir in the ginger garlic & saute for 30 to 60 seconds.▢ Add tomatoes and sprinkle salt. Saute until the tomatoes turn soft and mushy.▢ Add chilli powder, garam masala, coriander powder & turmeric.  Saute for 30 seconds & press cancel button.▢ Pour water and mix well at the bottom of the steel insert to deglaze any bits of food stuck. At this stage if you desire you can also blend the onion tomato masala using a hand blender.▢ Drain water from the green gram and add them. (Optional for cooking rice – Place a trivet and then the rice bowl. Cover the rice bowl.)▢ Secure the IP with the lid and position the steam release handle to sealing.▢ Press pressure cook button and set the timer to 12 mins. If using dried mung beans (unsoaked) then cook them for 15 mins.▢ Let the pressure release naturally for 10 mins, then release the rest manually.▢ Garnish green gram dal with coriander leaves. You can also stir in some coconut milk or lemon juice if you want."
['Moong Dal Recipe'],"Other ingredients▢ 1 small  onion (¼ cup chopped)▢ 1 large  tomato (½ cup chopped, deseeded if required)▢ ½ to ¾ teaspoon salt (adjust to taste)▢ ½ teaspoon crushed kasuri methi (dry fenugreek leaves) (optional)▢ ¼ to ¾ cup water (more or less for consistency) ▢ 2 tablespoon coriander leaves (cilantro finely chopped)▢ 1 tablespoon lemon juice (or ½ tsp amchur or dry mango powder) as needed","▢ Press the SAUTE button on your Instant pot.▢ Pour ghee or oil to the inner pot. Add cumin,mustard, dried red chilli and curry leaves or bay leaf. ▢ When they splutter, add asafoetida (hing), onions and green chilies. Fry for about 2 mins until the onions turn transparent.▢ Then add in ginger, garlic, red chili powder, garam masala and turmeric. Give a quick stir.▢ Add in tomatoes, salt, rinsed dal and pour 1½ cups water.▢ Deglaze the inner pot by scrubbing with a spatula to release any bits of food stuck.▢ optional – Place a trivet and place your rice bowl.▢ Secure the IP with the lid. Position the steam release handle to sealing. Press PRESSURE COOK  button and set the timer to 10 mins.▢ When the IP is done, press cancel and switch off. Wait for the pressure to release naturally for 10 mins.▢ Release the rest of the pressure manually. With the help of a spoon, gently move the steam release handle from sealing to venting. This releases the steam.▢ Sprinkle kasuri methi over the dal and mash it if you like it smooth. If the dal is too thick you can pour ¼ to ½ cup hot water and bring it to consistency. Taste it and add more salt if needed.▢ Garnish moong dal with coriander leaves and squeeze in lemon juice."
"['Sambar Recipe, How to Make Sambar']",For Sambar Powder or (2 tbsps readymade powder)▢ 1 tablespoon coriander seeds▢ 1 tablespoon chana dal (skinned split bengal gram)▢ 1 teaspoon urad dal (skinned split black gram)▢ ¼ to ½ teaspoon methi seeds  (fenugreek seeds)▢ ½ teaspoon cumin seeds (jeera)▢ 4 to 5 dried red chilies  (kashmiri or byadgi) (less spicy variety),"▢ Set aside the desired portion to refrigerate in smaller containers.▢ Cool completely and refrigerate immediately. To retain the taste of sambar, refrigerate within two hours of cooking. ▢ It keeps good for about 2 to 4 days. Bring it to a boil & make a fresh tempering."
['Masala Dosa Recipe'],To make dosas▢ Butter as needed  (preferably unsalted cultured butter),"▢ Roast 2 tbsps chana dal until golden along with 6 to 8 dried red chilies. Chilies have to turn crisp.▢ Saute 1 large onions lightly in 1 tsp oil until the raw smell goes off. Add 2 pinches of cumin.▢ Cool everything. Powder the dal and chilies first.▢ Add half tsp tamarind (optional), 2 garlic cloves and salt. Blend till smooth. You will have a thick chutney. If the chutney turns very thick, add 1 to 2 tbsps of water and blend again."
['32 Oats Recipes for Breakfast & Snack'],"▢ 1 cup rolled oats▢ ½ cup moong dal (skinned split mung lentils)▢ 2 to 2½ cups water (4 cups for instant pot)▢ 8 to 10 cashews▢ ½ teaspoon black pepper corn (crushed, adjust to taste)▢ ½ teaspoon salt (more to adjust)▢ 1 sprig curry leaves▢ 1 teaspoon ginger grated or fine minced▢ ⅛ teaspoon turmeric▢ ½ teaspoon cumin seeds▢ 2 tablespoon ghee  or as needed▢ ⅛ teaspoon hing (asafoetida)▢ 1 green chilli slit (optional)","▢ Press the saute button and add ghee to the steel insert. Fry the cashews until golden and remove them to a bowl for garnishing later.▢ Add ginger, green chilies (optional), cumin seeds, black pepper and curry leaves. Saute until you begin to smell the curry leaves good.▢ Then add hing and oats. Roast for 2 to 3 mins. If the IP becomes too hot, press cancel in between and continue.▢ Add rinsed moong dal, turmeric and salt. Continue to sauté for 4 to 5 minutes. I found this step makes the dish aromatic and less sticky.▢ Press cancel. Pour 4 cups water and deglaze the pot.▢ Secure the instant pot with the lid. Press pressure cook and set the timer to 8 minutes.▢ After the IP beeps, wait for natural pressure release for 8 minutes. Release the rest of the pressure manually.▢ Stir oats pongal. I prefer to top with little ghee. Serve with papads, pickle or chutney."
['Rava Dosa Recipe | Crispy Suji Dosa'],▢ ½ cup rava (fine semolina or suji)▢ ½ cup rice flour▢ ¼ cup all-purpose flour (maida or ½ cup oats flour or whole wheat pastry flour) (refer notes)▢ 2 to 3 tablespoons onion very fine chopped (optional)▢ 1 green chilli chopped finely▢ 1 teaspoon grated ginger▢ ½ teaspoon cumin seeds (jeera)▢ ¼ to ½ teaspoon crushed black pepper▢ ½ teaspoon salt (adjust to taste)▢ 6 curry leaves  chopped very finely▢ 2 tablespoons coriander leaves chopped very finely▢ 2½ cups water (you may need more)▢ 1 tablespoon curd (plain yogurt) (optional)▢ 2 to 3 tablespoons oil or ghee,▢ Ensure the pan is hot again.▢ Stir the batter well before pouring the batter every time. If needed add more water to bring it to consistency.▢ It is best served hot as it turns soft when it cools down. Serve with any chutney.
['Medu Vada Recipe (Garelu)'],Optional (skip if making for Naivedyam)▢ ¼ to ½ teaspoon pepper corn  (crushed coarsely)▢ 2 to 3 green chilies (chopped)▢ 4 tablespoon onions (chopped) (1 small)▢ 1 sprig curry leaves (chopped)▢ ½ teaspoon cumin seeds (jeera)▢ 1 teaspoon ginger fine grated,"▢ Heat oil in a deep heavy bottom kadai or pan on a medium heat till hot enough. ▢ Drop a small amount of batter to check if the oil is hot. The batter raises if the oil is hot enough.▢ Dip your fingers in water or oil to moisten your fingers. Water should not be dripping.▢ Take small portions of batter.  Shape to a ball, slightly flatten with thumb. ▢ Dip the thumb in water, again no dripping water. Make a hole in the center. ▢ Gently slide the vada in the hot oil by gently shaking off the fingers.▢ Or place the ball on a greased sheet. Flatten it slightly and make a hole in the centre.▢ If the oil becomes too hot, regulate the flame to medium. ▢ Moisten your fingers again. Lift the corner part of the sheet and transfer the vada on to your fingers. Then drop it just by shaking your fingers.▢ Fry medu vada till they turn golden on both sides.▢ Make them and fry them in batches till you use up all the batter. In between every batch, wait till the oil heats up, if not hot.▢ Serve medu vada with coconut chutney or tiffin sambar."
"['Poori Recipe, How to make Puri']",▢ 1 cup wheat flour (atta)▢ ¾ teaspoon semolina (fine rava or chiroti rava) (optional)▢ ¾ teaspoon oil (or ghee)▢ ¼ cup water (plus 1 to 2 tbsp) (adjust as needed)▢ ⅛ teaspoon salt (adjust to taste)▢ oil (for deep frying),"▢ The oil has to be hot enough. Check by dropping a small portion of dough to the pan. It has to rise immediately without browning. ▢ If it browns quickly then reduce the flame slightly and allow the temperature to come down.▢ Slide the puri carefully to the hot oil. Do not disturb until it rises half way to the surface.▢ Quickly but gently begin to press down with a perforated ladle. This helps the poori to puff well.▢ Once puri puffs, flip it carefully. Fry on the other side as well until golden and crisp. ▢ You can fry flipping too and fro once more until slightly crisp & to get the desired color – light golden to dark golden.▢ Remove the puri to a steel colander. Fry the next poori the same way. ▢ Make sure the oil is hot enough, but not smoking before frying the next puri. Serve poori with potato curry, chutney or kurma."
['Rava Idli Recipe | Instant Idli with Suji'],"Other ingredients▢ 1/3 teaspoon salt  – use as needed▢ 2 to 3 tablespoon coriander leaves chopped finely▢ ¾ cup curd or yogurt or dahi (fresh, not sour)▢ ½ cup water for soaking rava▢ 2 to 3 tablespoon water for batter consistency▢ 1 teaspoon lemon juice (skip if using eno)▢ 1 teaspoon Eno or fruit salt or ¼ tsp cooking soda (or soda-bicarbonate) (* refer notes)▢ 1 teaspoon oil  for greasing idli plates▢ 4 cashewnuts  or 8 split cashews▢ 1 teaspoon carrot  grated","▢ Bring water to a boil in a steamer or cooker.▢ When the water is just about to come to a boil in a few minutes, Check the consistency of the batter and pour more water if needed. ▢ The batter has to be thick like regular idli batter and must be smooth. ▢ When you drop it with the spoon it should not be lumpy.▢  It should not be of pouring consistency either.▢ Skip this step if using eno. ▢ Add 1 tsp lemon juice to the batter and give a quick stir.▢ Then sprinkle eno or soda and gently give a good mix. ▢ Avoid over mixing. The batter needs to be steamed immediately otherwise the rava idli will not turn fluffy & soft.▢ Immediately transfer the batter to moulds. ▢ Place it in the hot steamer and steam for 10 mins on a high flame. ▢ Allow the idlis to cool down for 2 mins.▢ If the rava idli is properly done, then a skewer or fork inserted into it comes out clean or with little crumbs. ▢ When the rava idlis cool down for about 3 to 4 mins, demould them with a wet spoon. ▢ Serve rava idli with coconut chutney or potato sagu (recipe below)."
['Masala Chai Recipe (Indian Masala Tea)'],Method 2 – Makes 3 tsp masala chai powder▢ 1 teaspoon green cardamoms (5 grams skinned) (elaichi)▢ ½ teaspoon cloves (2 grams) ▢ 2½ to 3 grams cinnamon  (cassia or Ceylon)▢ ¼ teaspoon fennel seeds (1½ grams) (saunf)▢ ¼ to ½ teaspoon black pepper corn  (½ tsp ground pepper)▢ ½ teaspoon nutmeg  grated or ⅓ of large nutmeg▢ 2 petals star flower (star anise) (chakri phool),▢ Clean all the spices and add to a blender jar. Powder finely. Store it in an airtight glass jar. ▢ Use about ½ to ¾ tsp or more to make 2 servings of tea. For stronger tea you can use about ¾ tsp.
['Curry Sauce Recipe (Instant Pot and Stovetop)'],Optional Whole Spices▢ 1 medium bay leaf▢ 2 to 3 green cardamoms▢ 1 black cardamom▢ 2 to 3 inch cinnamon piece▢ 1 star anise,"▢ Perform the steps till you saute the onions on a SAUTE mode. Turn off the IP. Stir in all the ground spices, followed by the veggies and 1½ cups water. ▢ Pressure cook on high pressure for 16 minutes. Let pressure drop naturally, discard bay leaf, cinnamon, star anise and black cardamom. Blend the ingredients & pour back to the IP. ▢ Add sugar (optional) and salt. Taste test and add more garam masala if required. If the sauce is too thick you may add little water. Cook on a saute mode until you see traces of oil/fats on the sauce and the curry sauce turns thick. This takes about 5 minutes."
['35 Sandwich Recipes'],Optional Whole Spices▢ 1 medium bay leaf▢ 2 to 3 green cardamoms▢ 1 black cardamom▢ 2 to 3 inch cinnamon piece▢ 1 star anise,"▢ Perform the steps till you saute the onions on a SAUTE mode. Turn off the IP. Stir in all the ground spices, followed by the veggies and 1½ cups water. ▢ Pressure cook on high pressure for 16 minutes. Let pressure drop naturally, discard bay leaf, cinnamon, star anise and black cardamom. Blend the ingredients & pour back to the IP. ▢ Add sugar (optional) and salt. Taste test and add more garam masala if required. If the sauce is too thick you may add little water. Cook on a saute mode until you see traces of oil/fats on the sauce and the curry sauce turns thick. This takes about 5 minutes."
['Tomato Soup Recipe'],▢ 500 grams (1.1 lbs) Tomatoes (ripe red tomatoes) cubed▢ 1 tablespoon olive oil or butter▢ 1 small bay leaf▢ 1 medium onion cubed▢ 2 large garlic cloves▢ ⅓ teaspoon Salt or as needed▢ 1½ cup water (or stock) more if needed▢ 1 tablespoon sugar▢ ¾  tablespoon corn starch (corn flour or arrowroot powder or 1 small boiled potato)▢ ½ teaspoon pepper or as desired▢ ¾ to 1 teaspoon dried herbs (I use mixed Italian herbs)▢ 2 stalks Basil (optional)▢ 2 tablespoon cream (or 25 cashew nuts)▢ 1 small carrot (optional) (diced),▢ Spread butter on the bread slices and toast them on a medium heat until crisp. ▢ Then cut them to bite sized pieces.
['Masala Pasta Recipe (Indian Style Pasta)'],"Vegetables ▢ ½ cup onions  (1 medium onion chopped finely)▢ 1¼ cup (120 grams) tomatoes  (chopped or pureed ) do not use sour tomatoes▢ ½ cup carrots chopped (1 medium, optional)▢ ¼ cup green peas (frozen or boiled, optional)▢ ¼ cup capsicum (bell pepper, chopped, optional)▢ 2 to 4 tablespoons sweet corn kernels or 3 baby corn sliced or chopped (optional)","▢ Heat oil & butter (optional) in a pan. When the oil turns hot, add cumin seeds & let them splutter.▢ Stir in the garlic and ginger & saute for a minute.▢ Add onions and sauté them on a medium high heat until they turn golden.▢ Add chopped veggies and fry for about 2 to 3 minutes. Stir in the ground spices & salt.▢ Time to add the tomatoes & the ketchup/ passata (optional). Mix well and cook on a medium heat until the tomatoes cook down and the raw flavor of tomatoes is gone. You will also see oil begins to separate from the masala & the veggies are cooked through. Else cover & cook on a low heat.▢ Pour ¼ to ½ cup pasta cooked water or plain water. Mix well & cook for a few minutes, until the sauce turns thick & saucy. (Do not over cook)▢ Stir in kasuri methi & cooked pasta. Taste test & adjust salt. Cover and cook on a medium heat for 2 to 3 mins, until the pasta turns hot & steaming. ▢ If you want you may stir in heavy cream or grated cheese.▢ Garnish masala pasta with coriander leaves. Serve hot."
['Veg Biryani | Vegetable Biryani'],For garnish & serving▢ 10 fried cashews for garnish (optional)▢ 1 tablespoon lemon juice (optional),"▢ Press the SAUTE button on your IP and pour oil or ghee to the steel insert.▢ Add thinly sliced onions. Spread them to a single layer and saute occasionally until uniformly deep golden. Remove half of these and set aside for later. ▢ Then add the whole spices and green chili. Then add the ginger garlic paste and saute until a nice smell comes out.▢ Add tomatoes, chopped veggies, mint, coriander leaves and sprinkle ⅛ teaspoon salt. Saute until the tomatoes breakdown. This takes about 1 to 2 mins.▢ Stir in the garam masala and red chilli powder.▢ Press CANCEL button & add yogurt. Deglaze by scraping the bottom of the pot with a spatula. This releases any bits of food stuck there.▢ Spread the veggies to a single layer. Next layer the drained rice and level it.▢ In another bowl, stir in ¼ teaspoon salt & 1¼ cup water and taste it. It has to be slightly salty. If needed add more.▢ Pour the water starting from the sides and then in the center. Do not mix. Ensure all of the rice is under the water. ▢ Secure the IP with the lid. Position the steam release valve to sealing position. ▢ Press pressure cook/ manual (set to high pressure) & set the timer for 5 mins. If you double or triple the recipe then set to low pressure with the same cook time. (Alternately you can pressure cook for 4 mins on high pressure setting and wait for 8 mins. Then release the rest manually.)▢ When the IP finishes, for aldente cooked vegetable biryani quick release the pressure manually. For softer rice, wait for 5 to 7 mins (natural pressure release) and then release the rest manually with the help of a spoon.  Garnish with fried onions. Serve with Raita."
['Tomato Chutney Recipe'],To temper (optional)▢ 1 teaspoon oil▢ ¼  teaspoon urad dal (skinned black gram) (optional)▢ 1 sprig curry leaves▢ ¼  teaspoon mustard seeds▢ 1 pinch asafoetida (hing)▢ 1 dried red chili (broken to 2),"▢ If you are on a low fat diet you can also skip the tempering. Heat 1 tsp oil in a pan. ▢ Add ¼ tsp mustard seeds and ¼ tsp urad dal.▢ When the dal turns golden, fry 1 sprig curry leaves and 1 broken red chili till the leaves turn crisp. ▢ Add hing & onion tomato chutney to the pan and mix. Or pour this tempering to the tomato chutney. ▢ Serve with idli, dosa and pesarattu. You can also refrigerate the chutney & use."
['Egg Curry Recipe'],Spice powders▢ ½ to 1 teaspoon red chilli powder▢ ½ to 1 teaspoon garam masala  (refer notes)▢ ½ to 1 teaspoon coriander powder (optional)▢ ⅛ teaspoon turmeric,"▢ Press saute button and add oil to the inner pot of the Instant pot. Add spices & bay leaf.▢ Add ginger garlic and fry for 30 seconds. Then add the tomatoes and salt. ▢ Fry until the tomatoes breakdown. Add chilli powder and turmeric. Saute for a min.▢ When the cumin begins to sizzle add onions and green chilli. Saute until the onions turn light golden.▢ Then pour 1 cup water and mix well to release any bits of food stuck at the bottom of the pot.▢ Place a long leg trivet. Place your basmati rice bowl. Cover it.  Then place the eggs in another bowl. Cover it.▢ Secure the IP with the lid. Position the steam release handle to sealing.▢ Press the pressure cook button (high pressure). Set the timer to 7 mins.▢ When the IP is done, press the cancel button. ▢ When the pin drops, open the lid. Do a quick manual release by moving the steam release handle from sealing to venting. You can also wait for 5 mins for a natural release.▢ Pour cold water to the eggs and let them cool down. Peel the eggs and prick them with a fork.▢ Press the saute button and simmer the eggs in the curry for a minute. Then pour the cream or cashew milk or coconut milk.▢ Stir well and cook until the curry thickens. Taste and add more salt if needed. Turn off and garnish with coriander leaves."
['Malai Kofta Recipe (Paneer Kofta Curry)'],other ingredients▢ 2 tablespoons oil (or 2 tbsp butter)▢ 1 bay leaf (optional)▢ ½ inch cinnamon stick (optional)▢ 2 cardamoms (optional)▢ 1½ teaspoons ginger garlic paste▢ 1 teaspoon red chili powder  (adjust to taste)▢ ¾ to 1¼  teaspoon garam masala (adjust to taste)▢ 1 teaspoon coriander powder (ground coriander seeds)▢ 1 teaspoon salt (adjust to taste)▢ ½ to ¾ teaspoon sugar▢ ½ cup water (¼ cup more if needed)▢ 1 teaspoon kasuri methi (fenugreek leaves)▢ 3 to 4 tablespoons cream,▢ Cool the gravy completelt and transfer it to a serving dish.▢ Cool the malai koftas slightly. Place them in the gravy and pour 1 tbsp of cream. (avoid adding hot koftas to hot gravy)▢ Garnish malai kofta with coriander leaves & serve with butter naan or Jeera Rice.
['Veg Cutlet Recipe (Vegetable Cutlet)'],For crumb coating▢ 2 tablespoon besan or gram flour or rice flour or corn flour▢ ½ cup bread crumbs  or powdered poha for the crust,"▢ Lastly heat 1 tablespoon oil for shallow frying in a wide pan. When the oil turns hot, gently place the veg cutlet in the pan. ▢ Fry them on both the sides until golden and crisp. Set aside and fry them in 2 batches using more oil as needed.▢ To bake the veg cutlet – Preheat the oven to 180 C/ 360 C for 15 mins and place the patties on a greased tray. Bake for about 15 mins on each side or until golden and crisp.▢ Serve veg cutlet with green chutney or any sauce."
['Baingan Bharta Recipe (Eggplant Bharta)'],other ingredients▢ 1½ tablespoons oil (mustard oil or any other)▢ ½ cup (130 grams) onions (chopped)▢ ¾ cup (200 grams) tomato (deseeded & chopped)▢ 3 large garlic cloves (fine chopped)▢ ½ to ¾ inch ginger (fine chopped)▢ ½ teaspoon red chilli powder (adjust to taste)▢ ½ teaspoon garam masala (read notes)▢ ¾ teaspoon salt (adjust to taste)▢ 2 tablespoon coriander leaves (fine chopped),"▢ Pour oil to a hot pan. When the oil turns hot, add chopped ginger and garlic. ▢ Saute for 30 to 60 seconds until aromatic.▢ Then add chopped onions and saute until they turn light golden.▢ Add tomatoes and salt. Cook until they become soft. Then add red chili powder and cook for a few minutes until the raw smell from the tomatoes goes away.▢ Then mashed eggplants, garlic and green chilies. (You may want to save half of the green chilies for later after taste testing)▢ Mix everything and mash it a bit to blend well. Then add garam masala and cook for 3 to 4 minutes on a medium heat.▢ Taste test and add more salt and green chilli. Garnish with coriander leaves. If you like squeeze some lemon juice.▢ Serve baingan bharta with roti, rice or naan."
['Gobi Manchurian Recipe | Cauliflower Manchurian'],"To Make Gobi Manchurian Sauce▢ 1½ tablespoons oil (for sauce)▢ 1 tablespoon garlic fine chopped▢ ½ tablespoon ginger fine chopped▢ 1 green chili chopped (optional)▢ ⅓ cup onions or spring onions/ scallions fine chopped – green & white separated ▢ ¼ cup bell pepper  (capsicum chopped fine) (optional)▢ 1 tablespoon soya sauce (organic or naturally brewed)(or tamari)▢ 2 to 3 tablespoon Red Chilli sauce (or 2 tsps hot sauce, adjust to taste)▢ 1 to 2 tablespoon tomato ketchup (optional, use if using hot sauce)▢ ½  teaspoon Kashmiri red chili powder  (or paprika optional) ▢ ½ tablespoon rice vinegar (I used apple cider vinegar)▢ 1 teaspoon sugar (adjust to taste)▢ salt as needed▢ 3 to 4 tablespoons water▢ ½ to ¾ teaspoon black pepper crushed or ground▢ ⅛ teaspoon salt (adjust to taste)▢ 2 tablespoons spring onion greens chopped for garnish","▢ Optional: Mix together red chili powder with little water (1 tbsp) to a paste and keep aside. This step is optional and is used mainly for the red color.  ▢ Prepare the sauce: Add soya sauce, red chili sauce, tomato ketchup, red chili paste, sugar and vinegar to a small bowl and keep this aside. (for gravy version refer the notes section below). ▢ Heat oil in a wide pan or wok. Add garlic, ginger and green chilies. Saute for a minute or two. ▢ Then add spring onions whites & bell pepper. Saute them on a high flame for 2 mins. ▢ Pour the sauce and water. Mix well and cook stirring until the sauce turns thick. Add black pepper and turn off the heat.▢ Taste test and adjust the heat and salt levels to your taste. The sauce has to be slightly tangy, sweet & hot. If you want you may add more sauce to preference. ▢ Allow the sauce to cool for 1 to 2 mins. Add the fried cauliflower and stir gently to coat well with the manchurian sauce.▢ Garnish gobi manchurian with spring onion greens. Serve immediately as a appetizer or as a side with noodles or fried rice."
"['Basmati Rice Recipe, How to Cook Basmati Rice']",▢ 1 cup  aged basmati rice▢ 2 cups water reduce by ½ cup if using new rice▢ ½ teaspoon oil or ghee (optional)▢ ¼ to ½ teaspoon salt (optional),▢ Heat ghee in a wide pot and add the drained rice (completely no water). Increase the heat to high and stir fry the rice occasionally for 2 to 3 mins.▢ Pour water and bring it to a rolling boil. Reduce the heat and cover the pot. Let cook until all of the water is absorbed.▢ You have the fulffy basmati rice under 10 minutes.
['Veg Fried Rice Recipe (Vegetable Fried Rice)'],"Vegetables▢ ¼ to ½ cup Carrots chopped finely▢ ¼ cup Bell peppers (capsicum) chopped finely▢ ¼ cup French beans (4 to 5 green beans, chopped finely)▢ ¼ cup Green onions  (scallions/spring onions, 4 stalks, fine chopped)▢ ¼ cup Cabbage (optional, or ¾ cup mushrooms sliced )▢ 1 green chili slit (optional, for heat)","▢ Heat a wok with oil on the highest flame and fry chopped garlic slightly just for 30 to 40 seconds. ▢ Next add all the chopped vegetables and fry for 2 to 3 minutes just until half cooked. They should be crunchy and not soft.▢ Add soya sauce. Then add the optional ingredients vinegar and half tsp sugar. Sugar helps to preserve the bright colors of veggies and helps to balance the flavors.▢ Immediately add cooled rice, ¼ teaspoon salt and black pepper. Fry the vegetable fried rice for 2 mins. ▢ Garnish veg fried rice with fresh green onions. Tastes good on its own but you can also pair it with veg manchurian or chilli paneer."
['Ghee Rice Recipe'],Whole spices▢ 2 inch cinnamon (dalchini)▢ 4 cloves (laung)▢ 3 to 4 green cardamoms (elaichi)▢ 1 strand  mace (javitri)▢ 1 star anise (chakri phool)▢ 1 bay leaf (tej patta),"▢ Press the SAUTE button & add ghee to the inner steel pot of the Instant pot.▢ When the ghee melts, add the cashews & saute until they turn light golden.▢ Then add in the raisins and stir until they plum up. Remove the cashews and raisins to a small plate.▢ Stir in the onion slices to the ghee and spread them in a single layer.▢ Next stir them every now and then until they turn golden to light brown & aromatic. If the pot is too hot, you can switch the saute to low by pressing (saute button again). Drain the ghee well and remove to the same plate.▢ Now add in all the whole spices, followed by the green chilli and drained rice.▢ Saute for 30 to 60 seconds & press CANCEL button.▢ Pour water and add salt. Deglaze by scrubbing the bottom of the steel pot with a spatula. Taste the water and add more salt if needed.▢ Secure the instant pot with the lid. Position the steam release handle/ vent to sealing.▢ Press the PRESSURE COOK button (or manual on older IPs) and set the timer to 5 mins.▢ When the IP beeps, wait for natural pressure release for 2 to 3 mins. For softer rice, you can wait upto 5 mins. Then release the rest manually by moving the steam release handle from sealing to venting.▢ Cool down a bit and then garnish ghee rice with fried onions, raisins and cashews."
['Tomato Rice Recipe (Indian Style)'],whole spices (skip if you don't have)▢ 1 small bay leaf or curry leaves▢ ¾ teaspoon cumin seeds (jeera)▢ 1 inch cinnamon piece (dalchini)▢ 3 green cardamoms  (elaichi)▢ 3 cloves (laung),"▢ Soak rice for 30 mins. Press SAUTE button & pour oil to the inner pot of the instant pot. Then fry cashews until golden and remove them. Stir in the whole spices and then add onions. ▢ Saute them until transparent. Add the ginger garlic paste & saute for 30 seconds. Add tomatoes and salt. Saute them until the tomatoes break down and turn mushy. ▢ Add chilli powder, garam masala & turmeric. Saute for just 1 to 2 mins untilthe moisture from tomatoes almost dries up. ▢ Next pour 1¾ cups + 2 tbsp water. Press CANCEL button. Scrape off any bits of spices stuck at the bottom. This prevents from getting a burn notice. ▢ Stir & check the salt. Add more if needed. Then add the rice. Then secure the lid. Set the steam release handle/ value to sealing. Press PRESSURE COOK button (highpressure) for 5 mins.▢ When the tomato rice is done, Instant pot beeps. Wait for 2 mins & release the pressure manually with the help of a spoon by moving the steam release handle to venting from sealing. If you like softer rice then let the pressure release naturally for 7 to 8 mins. Then release the rest manually. ▢ Sprinkle coriander leaves & fluff up the tomato rice with a fork. Garnish with cashews."
